time,citycode,cityname,index,last_index,index_level,speed,city_coords,provincecode,provincename,weekRate
201903250935,148,秦皇岛,1.62,1.50,2,30.42,"13314644.33,4829720.42",25,河北,0.08
201903250935,233,西安,1.62,1.64,2,27.09,"12127979.30,4051219.02",27,陕西,-0.012
201903250935,104,昆明,1.62,1.90,2,26.67,"11448183.93,2843599.61",28,云南,-0.147
201903250935,53,长春,1.62,1.61,2,27.39,"13951842.48,5408037.28",9,吉林,0.006
201903250935,150,石家庄,1.62,1.52,2,31.61,"12748538.99,4559724.44",25,河北,0.066
201903250935,264,张家口,1.61,1.58,2,30.64,"12790099.15,4959124.69",25,河北,0.019
201903250935,176,太原,1.61,1.51,2,29.94,"12529930.90,4535569.28",10,山西,0.066
201903250935,163,南昌,1.61,1.68,2,26.06,"12898120.55,3315255.29",31,江西,-0.042
201903250935,321,呼和浩特,1.60,1.60,2,28.48,"12441036.70,4961658.65",22,内蒙古自治区,0
201903250935,308,周口,1.59,1.61,2,26.68,"12768866.67,3955605.11",30,河南,-0.012
201903250935,309,南阳,1.58,1.56,2,26.70,"12527476.18,3871381.71",30,河南,0.013
201903250935,142,桂林,1.58,1.33,2,24.58,"12278277.31,2891750.50",17,广西,0.188
201903250935,265,唐山,1.57,1.45,2,32.31,"13156663.86,4785771.15",25,河北,0.083
201903250935,187,中山,1.56,1.69,2,29.23,"12623658.84,2557831.51",7,广东,-0.077
201903250935,262,遵义,1.55,1.74,2,27.77,"11903929.90,3195131.30",24,贵州,-0.109
201903250935,301,惠州,1.55,1.44,2,26.87,"12737687.42,2629176.06",7,广东,0.076
201903250935,332,天津,1.54,1.58,2,31.81,"13047444.58,4707506.67",332,天津,-0.025
201903250935,307,保定,1.54,1.44,2,31.69,"12854318.52,4677433.40",25,河北,0.069
201903250935,330,遂宁,1.54,1.54,2,26.91,"11755371.73,3551132.57",32,四川,0
201903250935,128,阜阳,1.54,1.50,2,27.92,"12893318.37,3858071.13",23,安徽,0.027
201903250935,125,海口,1.53,1.45,2,26.11,"12268256.50,2264181.59",21,海南,0.055
201903250935,364,上饶,1.53,1.80,2,28.57,"13130279.90,3286654.94",31,江西,-0.15
201903250935,79,乐山,1.53,1.77,2,28.33,"11551964.13,3425607.32",32,四川,-0.136
201903250935,167,大连,1.52,1.58,2,26.51,"13538978.63,4683030.35",19,辽宁,-0.038
201903250935,194,厦门,1.50,1.45,2,30.30,"13146520.15,2794850.59",16,福建,0.034
201903250935,240,绵阳,1.50,1.58,2,30.13,"11653737.32,3671864.49",32,四川,-0.051
201903250935,191,廊坊,1.49,1.42,1,34.38,"12990050.62,4772368.93",25,河北,0.049
201903250935,303,汕头,1.49,1.59,1,25.62,"12989872.35,2658432.29",7,广东,-0.063
201903250935,261,南宁,1.49,1.35,1,29.37,"12064197.51,2593908.90",17,广西,0.104
201903250935,224,苏州,1.48,1.29,1,31.12,"13424120.33,3649961.01",18,江苏,0.147
201903250935,286,济宁,1.48,1.51,1,27.66,"12979309.45,4196147.53",8,山东,-0.02
201903250935,111,大理,1.47,1.53,1,27.87,"11162596.94,2932491.73",28,云南,-0.039
201903250935,201,潮州,1.47,1.42,1,29.11,"12983270.08,2695083.18",7,广东,0.035
201903250935,288,济南,1.46,1.47,1,30.42,"13024668.93,4367677.68",8,山东,-0.007
201903250935,291,南充,1.45,1.42,1,28.49,"11813044.63,3590307.23",32,四川,0.021
201903250935,268,郑州,1.45,1.70,1,31.45,"12649521.59,4105848.27",30,河南,-0.147
201903250935,153,洛阳,1.45,1.50,1,27.28,"12519129.85,4088448.61",30,河南,-0.033
201903250935,208,衡水,1.43,1.45,1,34.23,"12877238.34,4517087.91",25,河北,-0.014
201903250935,266,邢台,1.43,1.40,1,33.91,"12747432.55,4423795.06",25,河北,0.021
201903250935,355,大同,1.43,1.34,1,30.30,"12613353.15,4850172.87",10,山西,0.067
201903250935,151,邯郸,1.41,1.39,1,33.95,"12751319.79,4362095.84",25,河北,0.014
201903250935,346,扬州,1.40,1.40,1,30.73,"13293818.84,3792807.67",18,江苏,0
201903250935,255,漳州,1.40,1.45,1,30.52,"13097306.62,2798910.77",16,福建,-0.034
201903250935,154,商丘,1.39,1.52,1,30.23,"12875663.83,4061012.59",30,河南,-0.086
201903250935,54,延边,1.39,1.37,1,29.84,"14417767.78,5266979.76",9,吉林,0.015
201903250935,162,淮安,1.39,1.41,1,29.39,"13249660.33,3953517.97",18,江苏,-0.014
201903250935,236,青岛,1.39,1.35,1,31.32,"13401837.54,4285189.34",8,山东,0.03
201903250935,365,赣州,1.38,1.47,1,30.34,"12795341.80,2960138.22",31,江西,-0.061
201903250935,259,揭阳,1.38,1.26,1,29.87,"12955416.43,2682139.69",7,广东,0.095
201903250935,137,韶关,1.38,1.50,1,31.72,"12646449.94,2835086.87",7,广东,-0.08
201903250935,293,绍兴,1.37,1.46,1,32.74,"13423793.15,3486661.08",29,浙江,-0.062
201903250935,353,菏泽,1.37,1.36,1,31.14,"12856171.36,4171584.19",8,山东,0.007
201903250935,161,南通,1.36,1.43,1,35.11,"13458706.40,3738531.15",18,江苏,-0.049
201903250935,139,茂名,1.36,1.39,1,29.12,"12349002.86,2455917.94",7,广东,-0.022
201903250935,198,湛江,1.36,1.37,1,32.73,"12285964.33,2409313.63",7,广东,-0.007
201903250935,360,银川,1.35,1.45,1,31.49,"11826597.44,4622376.14",20,宁夏回族自治区,-0.069
201903250935,317,无锡,1.35,1.34,1,36.42,"13393990.44,3674896.25",18,江苏,0.007
201903250935,326,烟台,1.35,1.36,1,34.09,"13520391.89,4478567.99",8,山东,-0.007
201903250935,210,开封,1.34,1.37,1,32.22,"12725504.05,4112520.03",30,河南,-0.022
201903250935,287,潍坊,1.34,1.33,1,34.70,"13265880.80,4373425.72",8,山东,0.008
201903250935,234,临沂,1.34,1.52,1,31.68,"13176251.17,4154108.34",8,山东,-0.118
201903250935,361,玉林,1.33,1.33,1,30.16,"12266142.07,2574421.71",17,广西,0
201903250935,351,辽阳,1.33,1.30,1,31.82,"13719578.13,5024455.91",19,辽宁,0.023
201903250935,186,宜宾,1.33,1.80,1,31.72,"11649500.33,3324086.52",32,四川,-0.261
201903250935,244,台州,1.33,1.38,1,34.05,"13517338.48,3312052.08",29,浙江,-0.036
201903250935,342,黔东南,1.32,1.25,1,31.50,"12021589.68,3053023.60",24,贵州,0.056
201903250935,267,安阳,1.32,1.32,1,32.83,"12735043.78,4289480.73",30,河南,0
201903250935,229,包头,1.32,1.31,1,32.24,"12228217.87,4934749.35",22,内蒙古自治区,0.008
201903250935,305,柳州,1.32,1.27,1,30.17,"12180931.66,2776093.62",17,广西,0.039
201903250935,155,许昌,1.32,1.34,1,30.07,"12674841.94,4010267.02",30,河南,-0.015
201903250935,66,西宁,1.31,1.33,1,33.87,"11330696.32,4361026.15",11,青海,-0.015
201903250935,223,盐城,1.31,1.28,1,33.92,"13377206.96,3918849.25",18,江苏,0.023
201903250935,180,宁波,1.31,1.37,1,32.72,"13531775.58,3466675.15",29,浙江,-0.044
201903250935,245,舟山,1.30,1.27,1,35.03,"13604985.98,3480850.71",29,浙江,0.024
201903250935,235,滨州,1.30,1.28,1,32.83,"13133527.36,4467194.49",8,山东,0.016
201903250935,152,新乡,1.29,1.30,1,33.55,"12683140.43,4181023.18",30,河南,-0.008
201903250935,302,江门,1.29,1.24,1,38.52,"12589053.91,2565285.42",7,广东,0.04
201903250935,269,驻马店,1.28,1.30,1,31.49,"12693840.12,3874135.57",30,河南,-0.015
201903250935,283,鄂尔多斯,1.28,1.28,1,35.62,"12221600.87,4782598.19",22,内蒙古自治区,0
201903250935,294,湖州,1.28,1.23,1,39.83,"13369011.43,3597497.50",29,浙江,0.041
201903250935,130,安庆,1.26,1.24,1,33.16,"13032328.73,3552346.35",23,安徽,0.016
201903250935,258,云浮,1.26,1.30,1,35.19,"12473600.95,2605695.21",7,广东,-0.031
201903250935,325,泰安,1.26,1.27,1,37.08,"13035085.64,4303516.59",8,山东,-0.008
201903250935,215,鹤壁,1.26,1.29,1,32.14,"12724406.45,4241442.59",30,河南,-0.023
201903250935,199,阳江,1.25,1.18,1,36.71,"12466699.79,2479199.48",7,广东,0.059
201903250935,366,聊城,1.25,1.26,1,33.95,"12912319.45,4338843.70",8,山东,-0.008
201903250935,348,常州,1.25,1.26,1,34.18,"13356273.65,3716551.52",18,江苏,-0.008
201903250935,344,漯河,1.24,1.24,1,33.41,"12693146.01,3949717.58",30,河南,0
201903250935,341,贵港,1.24,1.26,1,32.35,"12201211.44,2629479.32",17,广西,-0.016
201903250935,354,淄博,1.24,1.23,1,35.39,"13142661.64,4388087.46",8,山东,0.008
201903250935,292,丽水,1.24,1.26,1,31.85,"13350636.44,3288181.06",29,浙江,-0.016
201903250935,333,金华,1.23,1.22,1,31.42,"13319970.32,3365439.56",29,浙江,0.008
201903250935,197,清远,1.23,1.28,1,34.07,"12586210.09,2698142.83",7,广东,-0.039
201903250935,160,镇江,1.23,1.36,1,34.19,"13295197.79,3766049.16",18,江苏,-0.096
201903250935,334,嘉兴,1.22,1.36,1,37.23,"13443315.62,3578394.42",29,浙江,-0.103
201903250935,338,肇庆,1.22,1.22,1,39.17,"12520436.40,2621544.92",7,广东,0
201903250935,105,楚雄,1.21,1.21,1,30.70,"11302845.30,2863781.61",28,云南,0
201903250935,372,德州,1.20,1.17,1,36.72,"12953925.37,4474580.65",8,山东,0.026
201903250935,347,连云港,1.20,1.21,1,32.82,"13272719.50,4085481.95",18,江苏,-0.008
201903250935,121,三亚,1.20,1.21,1,40.54,"12191692.57,2054288.40",21,海南,-0.008
201903250935,323,咸阳,1.19,1.34,1,38.67,"12102309.35,4049630.47",27,陕西,-0.112
201903250935,243,衢州,1.17,1.23,1,38.97,"13233890.59,3347356.77",29,浙江,-0.049
201903250935,249,曲靖,1.16,1.17,1,34.41,"11555387.73,2918272.23",28,云南,-0.009
201903250935,106,玉溪,1.14,1.16,1,34.86,"11416349.87,2779251.63",28,云南,-0.017
201903250935,213,平顶山,1.13,1.14,1,41.22,"12601384.97,3974262.89",30,河南,-0.009
201903250935,170,渭南,1.12,1.13,1,38.88,"12191480.30,4072477.69",27,陕西,-0.009
201903250935,112,保山,1.12,1.13,1,31.17,"11039492.89,2871929.08",28,云南,-0.009
201903250935,200,河源,1.04,1.07,1,44.44,"12769274.62,2705589.22",7,广东,-0.028
201903250935,278,宜春,0.98,0.99,1,52.78,"12737613.38,3206187.04",31,江西,-0.01
